,Original Player_FP,POS,AGE,TIERS,RK,Rank,Rank_PFF,Composite Rank
614,,,,,,222.0,123.0,172.5
627,,,,,,223.0,123.0,173.0
550,,,,,,216.0,130.0,173.0
563,,,,,,217.0,130.0,173.5
638,,,,,,233.0,115.0,174.0
676,,,,,,241.0,107.0,174.0
576,,,,,,218.0,130.0,174.0
589,,,,,,219.0,130.0,174.5
689,,,,,,242.0,107.0,174.5
702,,,,,,243.0,107.0,175.0
651,,,,,,235.0,115.0,175.0
62,Cedric Tillman,WR62,25,10.0,148.0,211.0,167.0,175.33
602,,,,,,221.0,130.0,175.5
639,,,,,,233.0,118.0,175.5
176,Isaiah Likely,TE16,25,10.0,139.0,230.0,158.0,175.67
664,,,,,,237.0,115.0,176.0
715,,,,,,245.0,107.0,176.0
615,,,,,,222.0,130.0,176.0
652,,,,,,235.0,118.0,176.5
628,,,,,,223.0,130.0,176.5
65,Chig Okonkwo,TE32,25,12.0,202.0,153.0,177.0,177.33
665,,,,,,237.0,118.0,177.5
728,,,,,,248.0,107.0,177.5
227,Jayden Higgins,WR46,22,9.0,106.0,292.0,135.0,177.67
640,,,,,,233.0,123.0,178.0
677,,,,,,241.0,115.0,178.0
392,Roschon Johnson,RB57,24,12.0,200.0,189.0,145.0,178.0
741,,,,,,249.0,107.0,178.0
229,Jaydon Blue,RB48,21,11.0,169.0,209.0,157.0,178.33
362,Pat Freiermuth,TE20,26,10.0,149.0,185.0,201.0,178.33
690,,,,,,242.0,115.0,178.5
653,,,,,,235.0,123.0,179.0
703,,,,,,243.0,115.0,179.0
754,,,,,,252.0,107.0,179.5
678,,,,,,241.0,118.0,179.5
253,Jonnu Smith,TE17,29,10.0,140.0,162.0,237.0,179.67
240,Jerome Ford,RB56,25,11.0,196.0,198.0,146.0,180.0
666,,,,,,237.0,123.0,180.0
691,,,,,,242.0,118.0,180.0
716,,,,,,245.0,115.0,180.0
551,,,,,,216.0,144.0,180.0
831,,,,,,291.0,69.0,180.0
704,,,,,,243.0,118.0,180.5
564,,,,,,217.0,144.0,180.5
767,,,,,,254.0,107.0,180.5
780,,,,,,255.0,107.0,181.0
577,,,,,,218.0,144.0,181.0
590,,,,,,219.0,144.0,181.5
641,,,,,,233.0,130.0,181.5
793,,,,,,256.0,107.0,181.5
729,,,,,,248.0,115.0,181.5
717,,,,,,245.0,118.0,181.5
32,Blake Corum,RB51,24,11.0,180.0,172.0,193.0,181.67
806,,,,,,257.0,107.0,182.0
742,,,,,,249.0,115.0,182.0
679,,,,,,241.0,123.0,182.0
692,,,,,,242.0,123.0,182.5
654,,,,,,235.0,130.0,182.5
603,,,,,,221.0,144.0,182.5
819,,,,,,258.0,107.0,182.5
616,,,,,,222.0,144.0,183.0
730,,,,,,248.0,118.0,183.0
705,,,,,,243.0,123.0,183.0
629,,,,,,223.0,144.0,183.5
755,,,,,,252.0,115.0,183.5
667,,,,,,237.0,130.0,183.5
743,,,,,,249.0,118.0,183.5
389,Romeo Doubs,WR63,25,10.0,151.0,236.0,164.0,183.67
718,,,,,,245.0,123.0,184.0
199,Jalen Coker,WR73,23,11.0,177.0,141.0,235.0,184.33
768,,,,,,254.0,115.0,184.5
467,Xavier Legette,WR67,24,10.0,160.0,220.0,174.0,184.67
138,Elic Ayomanor,WR74,22,11.0,178.0,159.0,217.0,184.67
781,,,,,,255.0,115.0,185.0
756,,,,,,252.0,118.0,185.0
731,,,,,,248.0,123.0,185.5
680,,,,,,241.0,130.0,185.5
794,,,,,,256.0,115.0,185.5
267,Joshua Palmer,WR75,25,11.0,182.0,181.0,194.0,185.67
693,,,,,,242.0,130.0,186.0
769,,,,,,254.0,118.0,186.0
744,,,,,,249.0,123.0,186.0
807,,,,,,257.0,115.0,186.0
782,,,,,,255.0,118.0,186.5
706,,,,,,243.0,130.0,186.5
820,,,,,,258.0,115.0,186.5
139,Elijah Arroyo,TE25,22,11.0,174.0,253.0,133.0,186.67
795,,,,,,256.0,118.0,187.0
719,,,,,,245.0,130.0,187.5
757,,,,,,252.0,123.0,187.5
205,Jalen Royals,WR72,22,11.0,176.0,,199.0,187.5
808,,,,,,257.0,118.0,187.5
821,,,,,,258.0,118.0,188.0
642,,,,,,233.0,144.0,188.5
770,,,,,,254.0,123.0,188.5
732,,,,,,248.0,130.0,189.0
783,,,,,,255.0,123.0,189.0
349,Nick Chubb,RB62,29,12.0,215.0,148.0,205.0,189.33
796,,,,,,256.0,123.0,189.5
655,,,,,,235.0,144.0,189.5
745,,,,,,249.0,130.0,189.5
809,,,,,,257.0,123.0,190.0
339,Michael Wilson,WR83,25,12.0,207.0,179.0,185.0,190.33
53,Cade Otton,TE21,26,11.0,162.0,186.0,223.0,190.33
822,,,,,,258.0,123.0,190.5
668,,,,,,237.0,144.0,190.5
758,,,,,,252.0,130.0,191.0
361,Pat Bryant,WR88,22,12.0,218.0,174.0,181.0,191.0
386,Rico Dowdle,RB53,27,11.0,184.0,182.0,208.0,191.33
771,,,,,,254.0,130.0,192.0
681,,,,,,241.0,144.0,192.5
784,,,,,,255.0,130.0,192.5
797,,,,,,256.0,130.0,193.0
694,,,,,,242.0,144.0,193.0
707,,,,,,243.0,144.0,193.5
810,,,,,,257.0,130.0,193.5
322,MarShawn Lloyd,RB55,24,11.0,194.0,214.0,173.0,193.67
823,,,,,,258.0,130.0,194.0
720,,,,,,245.0,144.0,194.5
125,Diontae Johnson,WR82,29,12.0,204.0,133.0,250.0,195.67
387,Roman Wilson,WR86,24,12.0,214.0,147.0,227.0,196.0
733,,,,,,248.0,144.0,196.0
746,,,,,,249.0,144.0,196.5
759,,,,,,252.0,144.0,198.0
73,Christian Watson,WR77,26,11.0,190.0,,207.0,198.5
772,,,,,,254.0,144.0,199.0
832,,,,,,291.0,107.0,199.0
284,Keaton Mitchell,RB74,23,13.0,244.0,,155.0,199.5
785,,,,,,255.0,144.0,199.5
168,Hunter Henry,TE22,30,11.0,163.0,207.0,229.0,199.67
798,,,,,,256.0,144.0,200.0
811,,,,,,257.0,144.0,200.5
824,,,,,,258.0,144.0,201.0
342,Mike Gesicki,TE29,29,11.0,191.0,188.0,225.0,201.33
